iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
475	0.4035808336	0.8988289471	0.779494382
476	0.403286532	0.8988289471	0.779494382
477	0.4029311124	0.8988289471	0.779494382
478	0.4026220904	0.8988289471	0.779494382
479	0.402285879	0.8988289471	0.779494382
480	0.4019880369	0.8988289471	0.779494382
481	0.4018227604	0.8988289471	0.779494382
482	0.4015138588	0.8988289471	0.779494382
483	0.4012295882	0.8988289471	0.779494382
484	0.4009199076	0.8988289471	0.779494382
485	0.4007586092	0.8988289471	0.779494382
486	0.400402659	0.8988289471	0.779494382
487	0.4000645582	0.8988289471	0.779494382
488	0.3997955264	0.8988289471	0.779494382
489	0.3994864906	0.8988289471	0.779494382
490	0.3991210245	0.8988289471	0.779494382
491	0.3987819887	0.8988289471	0.779494382
492	0.3984593297	0.8988289471	0.779494382
493	0.3981443345	0.8988289471	0.779494382
494	0.3978747839	0.8988289471	0.779494382
495	0.3976059645	0.8988289471	0.779494382
496	0.3972947627	0.8988289471	0.779494382
497	0.39698138	0.8988289471	0.779494382
498	0.3967146763	0.8988289471	0.779494382
499	0.3963913068	0.8988289471	0.779494382
500	0.3961132706	0.8988289471	0.779494382
501	0.3958504326	0.8988289471	0.779494382
502	0.3955230382	0.8988289471	0.779494382
503	0.3952205527	0.8988289471	0.779494382
504	0.3948897615	0.8988289471	0.779494382
505	0.3945852269	0.8988289471	0.779494382
506	0.3942786739	0.8988289471	0.779494382
507	0.3940039061	0.8988289471	0.779494382
508	0.3937407457	0.8988289471	0.779494382
509	0.3934135889	0.8988289471	0.779494382
510	0.3930785906	0.8988289471	0.779494382
511	0.3928007536	0.8988289471	0.779494382
512	0.3925532806	0.8988289471	0.779494382
513	0.3922224856	0.8988289471	0.779494382
514	0.3919599491	0.8988289471	0.779494382
515	0.3916709769	0.8988289471	0.779494382
516	0.3913368996	0.8988289471	0.779494382
517	0.3910893397	0.8988289471	0.779494382
518	0.3908223325	0.8988289471	0.779494382
519	0.3905364699	0.8988289471	0.779494382
520	0.3902503647	0.8988289471	0.779494382
521	0.389993114	0.8988289471	0.779494382
522	0.3897298755	0.8988289471	0.779494382
523	0.3894183346	0.8988289471	0.779494382
524	0.3890937551	0.8988289471	0.779494382
525	0.3888047023	0.8988289471	0.779494382
526	0.3885559756	0.8988289471	0.779494382
527	0.3882475257	0.8988289471	0.779494382
528	0.3879535863	0.8988289471	0.779494382
529	0.3876965694	0.8988289471	0.779494382
530	0.3874398706	0.8988289471	0.779494382
531	0.3871490684	0.8988289471	0.779494382
532	0.3868549287	0.8988289471	0.779494382
533	0.3865612366	0.8988289471	0.779494382
534	0.3862760829	0.8988289471	0.779494382
535	0.3859894609	0.8988289471	0.779494382
536	0.3856984925	0.8988289471	0.779494382
537	0.3854211084	0.8988289471	0.779494382
538	0.3851210908	0.8988289471	0.779494382
539	0.3848168551	0.8988289471	0.779494382
540	0.3845186968	0.8988289471	0.779494382
541	0.3842746198	0.8988289471	0.779494382
542	0.3840425383	0.8988289471	0.779494382
